Compound_ID,MZ,RT,Intensity,Annotation_ID
QI12374,272.1280095,2.021716667,14281.88795,"(E,E)-Trichostachine"
QI2606,197.067139,3.63075,66443.48276,"1,7-Dimethyluric acid"
QI12180,347.2216329,2.0351,4641.052642,11-Deoxycortisol
QI876,301.2160873,1.855766667,1899.868163,13-cis-Retinoic acid
QI13553,634.6492705,1.650333333,171463.8421,1-DeoxyCer 18:0;O2/24:1
QI7982,137.0708756,8.348733333,365418.6805,1-Methyl nicotinamide
QI5421,282.1195376,7.784066667,35455.9076,1-Methyladenosine
QI10188,166.0723871,5.3045,37690.57402,1-Methylguanine
QI7535,126.1028755,9.798433333,2351.445628,1-Methylhistamine
QI11035,183.0514414,3.920466667,42939.25954,1-Methyluric acid
QI5545,148.0967349,7.9458,1809.700235,2-amino-6-hydroxyhexanoic acid
QI9123,160.133169,6.510416667,19187.9528,2-Aminooctanoic acid
QI3598,298.1143293,5.3357,8320.995749,2-Methylguanosine
QI10285,298.1144894,5.157416667,88965.89861,2'-O-Methylguanosine
QI3400,313.0851693,5.046,190258.715,3-(N-Acetyl-L-cystein-S-yl) acetaminophen
QI6004,146.1175171,8.878066667,1152900.825,3-Dehydroxycarnitine
QI869,154.0498583,1.8513,2104.604968,3-Hydroxyanthranilic acid
QI2159,196.0606762,2.66355,108467.3504,3-Hydroxyhippuric acid
QI8221,134.0812403,7.9458,9290.959407,3-hydroxynorvaline
QI11250,167.0564111,3.3856,48228.84989,3-Methylxanthine
QI2544,146.0811506,3.4703,121782.1355,4-Acetamidobutanoic acid
QI11912,195.0766639,2.405033333,56738.5444,4-Aminohippuric acid
QI3622,199.0827173,5.36245,64772.76452,5-Acetylamino-6-amino-3-methyluracil
QI2615,157.0608724,3.653033333,3387.277559,5-Hydroxymethyl-4-methyluracil
QI4475,221.0920853,6.287566667,1791.051295,5-Hydroxy-tryptophan
QI12593,178.0863207,1.9727,10269.34682,5-Hydroxytryptophol
QI9762,258.1084668,5.7948,59922.35822,5-Methylcytidine
QI13386,401.3415345,1.708266667,1965.551256,
QI9720,166.0723781,5.848283333,203856.0475,7-Methylguanine
QI11136,167.0563994,3.684233333,30058.84261,7-Methylxanthine
QI10444,259.1036347,4.961316667,16361.73722,Acadesine
QI12190,152.0705978,2.0351,434648.8707,Acetaminophen
QI8278,146.1175011,7.901233333,4335.509625,Acetylcholine
QI3970,185.1286056,5.754683333,892954.0519,Acisoga
QI10346,268.1040309,5.0861,4583.21542,Adenosine
QI7508,218.1498091,9.914316667,7.068594851,
QI8306,90.0551666,7.8734,349558.1039,Alanine
QI2569,159.051305,3.550516667,14304.2878,Allantoin
QI2478,137.0457313,3.2831,390.1874863,Allopurinol
QI10690,265.1182766,4.642516667,10810721.42,alpha-N-Phenylacetylglutamine
QI4419,216.1957263,6.229633333,629.7367812,
QI1413,348.2895006,2.021716667,5998.634853,Arachidonoyl-EA
QI5508,142.0862331,7.91905,21345.43818,Arecaidine
QI6085,175.1190472,9.244633333,3490225.178,Arginine
QI4874,267.1702973,6.935016667,390694.4919,Atenolol
QI12831,559.2595423,1.873583333,214.3832394,Atorvastatin
QI7725,118.0866993,9.065266667,24573950.77,Betaine
QI386,585.270819,1.712733333,18936853.48,Bilirubin
QI12381,583.2554005,2.021716667,1015598.768,Biliverdin
QI9545,244.2270128,6.0221,13401.33402,
QI4095,272.2583533,5.901766667,245347.1269,C16 Sphingosine
QI4082,330.3364283,5.8884,2119.832655,C20 Sphinganine
QI9803,328.3207884,5.745766667,64164.34318,C20 Sphingosine
QI4051,356.3522313,5.852733333,24.55242685,
QI2327,195.0878878,2.930983333,1082648.547,Caffeine
QI8760,316.2479563,7.224733333,919221.157,CAR 10:0
QI8507,332.2429393,7.610233333,78422.72734,CAR 10:0;OH
QI5022,314.232366,7.273766667,643141.8621,CAR 10:1
QI8692,312.2167406,7.340616667,40767.674,CAR 10:2
QI5126,310.2009173,7.4164,217404.914,CAR 10:3
QI4958,330.2636411,7.14005,20355.26959,
QI8773,328.2480141,7.193533333,119575.8126,CAR 11:1
QI4925,344.2792538,7.033083333,255946.5431,CAR 12:0
QI5153,360.2742359,7.469883333,11354.12826,CAR 12:0;OH
QI8832,342.2636188,7.0732,367158.8047,CAR 12:1
QI4949,340.2479755,7.122233333,70209.42596,CAR 12:2
QI5009,338.2320653,7.2292,27082.30227,CAR 12:3
QI4857,358.2950043,6.903816667,86937.66895,CAR 13:0
QI4912,356.2793198,6.997416667,183636.9719,CAR 13:1
QI4847,372.31073,6.889283333,122003.3952,CAR 14:0
QI8919,370.2949661,6.889283333,507507.2793,CAR 14:1
QI8882,368.2793051,6.95285,293245.6375,CAR 14:2
QI4924,366.2635117,7.028616667,45586.72898,CAR 14:3
QI8957,386.3264905,6.826883333,2918.188424,CAR 15:0
QI4814,384.3107444,6.8358,6671.656248,CAR 15:1
QI8911,382.295013,6.899366667,5407.439886,CAR 15:2
QI4751,400.3419261,6.768933333,349087.1899,CAR 16:0
QI4813,396.3107677,6.8358,54996.12828,CAR 16:2
QI4820,394.2950326,6.849166667,59948.909,CAR 16:3
QI8916,392.2790147,6.893733333,38726.60974,CAR 16:4
QI4709,428.3734958,6.6575,52740.6317,CAR 18:0
QI9046,426.3576328,6.6798,297986.7432,CAR 18:1
QI9029,424.3420072,6.7422,254066.6092,CAR 18:2
QI9003,422.3263968,6.77785,21184.92184,CAR 18:3
QI7795,204.1232159,8.77555,21930967.36,CAR 2:0
QI9092,456.4049154,6.550533333,2882.120272,CAR 20:0
QI9156,484.4362443,6.470316667,11951.23357,CAR 22:0
QI4558,512.4678807,6.40345,133224.9838,CAR 24:0
QI4582,510.4521309,6.43465,26994.53204,CAR 24:1
QI9214,524.467634,6.394533333,3495.366743,CAR 25:1
QI4513,540.4993907,6.34105,205393.3321,CAR 26:0
QI4537,538.4836931,6.376716667,104629.4578,CAR 26:1
QI4563,536.4679977,6.407916667,25309.49487,CAR 26:2
QI5816,218.1387658,8.42895,1106859.111,CAR 3:0
QI8098,232.1543893,8.120266667,781342.9045,CAR 4:0
QI6014,248.149152,8.949383333,69933.31259,CAR 4:0;OH
QI8293,246.1699481,7.886766667,331897.8291,CAR 5:0
QI7782,262.1648692,8.811216667,67301.85679,CAR 5:0;OH
QI8218,244.1540653,7.95025,5941.462062,CAR 5:1
QI5314,260.1855654,7.65035,120707.0276,CAR 6:0
QI7991,276.180493,8.32645,25303.00776,CAR 6:0;OH
QI5445,258.1698258,7.833283333,5059.782648,CAR 6:1
QI5212,274.2012134,7.5378,15568.33569,CAR 7:0
QI5277,272.1855972,7.628066667,16105.7073,CAR 7:1
QI5133,288.2167598,7.425316667,340219.3974,CAR 8:0
QI5468,304.2116882,7.882316667,140806.7724,CAR 8:0;OH
QI5183,286.2011944,7.50215,975513.8982,CAR 8:1
QI8520,284.1855367,7.592416667,25877.61727,CAR 8:2
QI5037,302.2323361,7.309416667,54709.00153,CAR 9:0
QI5127,300.2168898,7.4164,8611.517534,CAR 9:1
QI8519,346.2219608,7.592416667,4403.620978,CAR DC10:0
QI5280,344.2062426,7.628066667,4057.353682,CAR DC10:1
QI4954,430.3159372,7.1356,8018.744614,CAR DC16:0
QI8877,458.3477424,6.957316667,38053.4623,CAR DC18:0
QI4920,456.3319478,7.019716667,33799.41858,CAR DC18:1
QI7853,262.1285392,8.654116667,29970.19899,CAR DC4:0
QI7961,276.1440954,8.39775,80306.48129,CAR DC5:0
QI8036,290.1597501,8.222766667,97939.52466,CAR DC6:0
QI5626,304.1752682,8.057233333,16378.89862,CAR DC7:0
QI5731,302.159695,8.227233333,22443.16833,CAR DC7:1
QI8291,318.1907898,7.886766667,16546.14498,CAR DC8:0
QI8213,316.1750797,7.954716667,2696.936273,CAR DC8:1
