Compound_ID,MZ,RT,Intensity,Metabolite
QI01,622.4442,6.45,3237627.74,001_C24:0 PC
QI02,468.3087,4.35,366952.8245,002_C14:0 LPC
QI03,494.3243,4.5,1017760.636,003_C16:1 LPC
QI04,496.3398,4.83,31418256.63,004_C16:0 LPC
QI05,520.34,4.67,11326857.55,005_C18:2 LPC
QI06,522.3557,5,7603437.552,006_C18:1 LPC
QI07,524.3713,5.38,11893747.86,007_C18:0 LPC
QI08,542.3227,4.57,816910.0031,008_C20:5 LPC
QI09,544.3402,4.69,2401691.235,009_C20:4 LPC
QI10,518.3217,4.83,9781941.028,010_C20:3 LPC
QI11,568.3401,4.67,643923.8777,011_C22:6 LPC
QI12,454.2928,4.85,56917.7116,013_C16:0 LPE
QI13,478.2929,4.68,141628.511,014_C18:2 LPE
QI14,480.3085,5.01,62883.76176,015_C18:1 LPE
QI15,482.3244,5.4,75674.26646,016_C18:0 LPE
QI16,502.2928,4.71,110736.5705,017_C20:4 LPE
QI17,510.3557,5.1,2322691.411,018_C20:0 LPE
QI18,526.2927,4.68,87360.99687,019_C22:6 LPE
QI19,538.387,5.68,30150.97179,020_C22:0 LPE
QI20,704.5224,7.73,318953.3197,021_C30:1 PC
QI21,706.5377,8.07,2573067.555,022_C30:0 PC
QI22,730.5378,7.89,4413850.304,023_C32:2 PC
QI23,732.5536,8.23,16905461.65,024_C32:1 PC
QI24,734.5691,8.54,14319265.68,025_C32:0 PC
QI25,754.5377,7.91,1794896.451,026_C34:4 PC
QI26,756.5533,8.08,21812586.37,027_C34:3 PC
QI27,758.5692,8.37,500243198.5,028_C34:2 PC
QI28,774.5663,8.69,136667.7147,028a_C34:2-hydroxy PC
QI29,760.5849,8.69,230618780,029_C34:1 PC
QI30,762.6003,8.98,3275384.226,030_C34:0 PC
QI31,782.5691,8.2,29072701.66,031_C36:4 PC-A
QI32,782.5687,8.4,211569590.1,032_C36:4 PC-B
QI33,784.5845,8.54,198792150.9,033_C36:3 PC
QI34,786.6005,8.84,301339551,034_C36:2 PC
QI35,788.6162,9.12,45184300.05,035_C36:1 PC
QI36,806.5685,8.33,108245252.9,037_C38:6 PC
QI37,810.5993,8.86,174827185.4,038_C38:4 PC
QI38,812.6159,8.99,57199812.52,039_C38:3 PC
QI39,814.6317,9.21,5590250.893,040_C38:2 PC
QI40,826.5354,8.01,833080.1442,041_C40:10 PC
QI41,828.5505,8.33,25320307.32,042_C40:9 PC
QI42,834.5993,8.8,45632293.99,043_C40:6 PC
QI43,738.5434,8.91,88735.26646,044_C34:5 PC plasmalogen
QI44,740.5563,8.58,23066.79624,045_C34:4 PC plasmalogen
QI45,742.5744,8.67,8048541.147,046_C34:3 PC plasmalogen
QI46,744.5898,8.97,2533607.295,047_C34:2 PC plasmalogen
QI47,746.6053,8.97,5137395.473,048_C34:1 PC plasmalogen-A
QI48,746.6054,9.27,51197.92163,049_C34:1 PC plasmalogen-B
QI49,766.5735,8.44,1182592.878,050_C36:5 PC plasmalogen-A
QI50,766.5733,8.68,12477281.86,051_C36:5 PC plasmalogen-B
QI51,770.6055,9.11,2203185.884,053_C36:3 PC plasmalogen
QI52,772.6209,9.13,2770653.649,054_C36:2 PC plasmalogen
QI53,774.6352,9.42,423396.4138,055_C36:1 PC plasmalogen
QI54,790.5738,8.61,2053460.862,056_C38:7 PC plasmalogen
QI55,792.5884,8.8,5959635.533,057_C38:6 PC plasmalogen
QI56,796.6217,9.15,8210062.144,058_C38:4 PC plasmalogen
QI57,818.6041,9.04,1783423.646,060_C40:7 PC plasmalogen
QI58,690.5055,8.24,1926.216301,061_C32:1 PE
QI59,692.5222,7.81,24784.78997,062_C32:0 PE
QI60,716.5213,8.38,301942.5549,063_C34:2 PE
QI61,720.5535,8.31,695887.6489,064_C34:0 PE
QI62,740.5231,8.4,509811.674,065_C36:4 PE
QI63,742.537,8.53,381717.395,066_C36:3 PE
QI64,744.554,8.84,1178282.922,067_C36:2 PE
