Metabolite,RT,MZ,Intensity
0.31_226.0538m/z,0.31,226.0538,33662.01105
0.31_111.0074m/z,0.31,111.0074,205.7707182
0.31_126.9633m/z,0.31,126.9633,10387.6547
0.31_145.9618m/z,0.31,145.9618,7680.78453
0.31_212.0418m/z,0.31,212.0418,930.5497238
0.31_212.1055m/z,0.31,212.1055,1094.533149
0.32_79.9558m/z,0.32,79.9558,931.2513812
0.32_85.0028m/z,0.32,85.0028,43.86740331
0.32_90.0082m/z,0.32,90.0082,1402.911602
0.32_91.0286m/z,0.32,91.0286,539.058011
0.32_93.0079m/z,0.32,93.0079,287.7044199
0.32_94.0032m/z,0.32,94.0032,146.2928177
0.32_97.0029m/z,0.32,97.0029,471.519337
0.32_103.0161m/z,0.32,103.0161,233.1353591
0.32_114.0084m/z,0.32,114.0084,286.3756906
0.32_212.0658m/z,0.32,212.0658,207.6878453
0.32_212.0743m/z,0.32,212.0743,1089708.414
0.32_214.0701m/z,0.32,214.0701,58467.15746
0.32_223.0277m/z,0.32,223.0277,3388.624309
0.32_89.0130m/z,0.32,89.013,581.5994475
0.32_93.0331m/z,0.32,93.0331,354.480663
0.32_95.0123m/z,0.32,95.0123,352.9226519
0.32_103.9188m/z,0.32,103.9188,857.7651934
0.32_109.0030m/z,0.32,109.003,91.09392265
0.32_277.1443m/z,0.32,277.1443,3679.524862
0.33_80.0000m/z,0.33,80,285.4889503
0.33_98.9545m/z,0.33,98.9545,180.679558
0.33_99.9244m/z,0.33,99.9244,4328.671271
0.33_100.9321m/z,0.33,100.9321,56.5359116
0.33_115.9194m/z,0.33,115.9194,2113.78453
0.33_116.0241m/z,0.33,116.0241,706.3176796
0.33_117.0194m/z,0.33,117.0194,2123.892265
0.33_118.0227m/z,0.33,118.0227,125.9972376
0.33_120.0191m/z,0.33,120.0191,983.4088398
0.33_121.0032m/z,0.33,121.0032,35.70718232
0.33_123.0413m/z,0.33,123.0413,15.77900552
0.33_124.0147m/z,0.33,124.0147,928.8646409
0.33_125.0093m/z,0.33,125.0093,28.71270718
0.33_125.9277m/z,0.33,125.9277,234.7790055
0.33_132.0385m/z,0.33,132.0385,123.3701657
0.33_133.0256m/z,0.33,133.0256,483.8259669
0.33_134.0097m/z,0.33,134.0097,170.3176796
0.33_134.0348m/z,0.33,134.0348,559.0856354
0.33_135.0300m/z,0.33,135.03,748.5635359
0.33_136.0141m/z,0.33,136.0141,198.5441989
0.33_136.9982m/z,0.33,136.9982,41.52762431
0.33_137.0093m/z,0.33,137.0093,564.8508287
0.33_138.0410m/z,0.33,138.041,33.35359116
0.33_140.0242m/z,0.33,140.0242,73.39226519
0.33_141.0195m/z,0.33,141.0195,1348.058011
0.33_141.9226m/z,0.33,141.9226,255.5662983
0.33_142.0226m/z,0.33,142.0226,19.7679558
0.33_144.0192m/z,0.33,144.0192,236.4392265
0.33_145.0145m/z,0.33,145.0145,229.6104972
0.33_147.0413m/z,0.33,147.0413,106.0911602
0.33_148.0253m/z,0.33,148.0253,172.0883978
0.33_149.0094m/z,0.33,149.0094,137.7624309
0.33_150.0298m/z,0.33,150.0298,83.41436464
0.33_151.0251m/z,0.33,151.0251,333.1270718
0.33_151.0363m/z,0.33,151.0363,363.2983425
0.33_152.0203m/z,0.33,152.0203,958.1132597
0.33_152.0454m/z,0.33,152.0454,79.84254144
0.33_153.0044m/z,0.33,153.0044,964.0497238
0.33_153.0235m/z,0.33,153.0235,150.3176796
0.33_155.0352m/z,0.33,155.0352,351.0911602
0.33_156.0304m/z,0.33,156.0304,323.6325967
0.33_156.9991m/z,0.33,156.9991,40.40883978
0.33_161.0206m/z,0.33,161.0206,806.8646409
0.33_162.0048m/z,0.33,162.0048,269.1574586
0.33_163.0363m/z,0.33,163.0363,167.5745856
0.33_163.0614m/z,0.33,163.0614,509.0773481
0.33_164.0203m/z,0.33,164.0203,469.5745856
0.33_164.0454m/z,0.33,164.0454,50.95027624
0.33_165.9341m/z,0.33,165.9341,316.4226519
0.33_166.0361m/z,0.33,166.0361,589.6464088
0.33_167.0201m/z,0.33,167.0201,314.7928177
0.33_169.0146m/z,0.33,169.0146,29.50552486
0.33_170.0210m/z,0.33,170.021,33.72928177
0.33_172.0256m/z,0.33,172.0256,116.3176796
0.33_172.0367m/z,0.33,172.0367,15.76519337
0.33_174.0412m/z,0.33,174.0412,1464.038674
0.33_175.0476m/z,0.33,175.0476,275.3038674
0.33_176.0317m/z,0.33,176.0317,635.218232
0.33_177.0158m/z,0.33,177.0158,510.0524862
0.33_177.0408m/z,0.33,177.0408,415.5082873
0.33_177.9999m/z,0.33,177.9999,279.7707182
0.33_178.0473m/z,0.33,178.0473,132.6187845
0.33_180.0155m/z,0.33,180.0155,236.3674033
0.33_189.0159m/z,0.33,189.0159,76.20718232
0.33_190.0475m/z,0.33,190.0475,315.1519337
0.33_191.0316m/z,0.33,191.0316,341.8066298
0.33_191.0566m/z,0.33,191.0566,72
0.33_192.0157m/z,0.33,192.0157,198.8922652
0.33_192.0271m/z,0.33,192.0271,105.9337017
0.33_192.0633m/z,0.33,192.0633,35.48342541
0.33_193.0472m/z,0.33,193.0472,381.4640884
0.33_194.0312m/z,0.33,194.0312,363.1933702
0.33_196.0470m/z,0.33,196.047,52.94475138
0.33_197.0309m/z,0.33,197.0309,71.88121547
0.33_199.0366m/z,0.33,199.0366,241.3922652
0.33_199.8504m/z,0.33,199.8504,403.781768
0.33_200.0320m/z,0.33,200.032,530.6049724
0.33_200.0432m/z,0.33,200.0432,105.2265193
0.33_203.0429m/z,0.33,203.0429,224.6823204
0.33_204.0271m/z,0.33,204.0271,307.2790055
0.33_204.0635m/z,0.33,204.0635,77.06077348
0.33_205.0112m/z,0.33,205.0112,204.3425414
0.33_205.0724m/z,0.33,205.0724,77.90607735
0.33_206.0429m/z,0.33,206.0429,299.0662983
0.33_207.0267m/z,0.33,207.0267,176.0359116
0.33_208.0372m/z,0.33,208.0372,22.17403315
0.33_209.0429m/z,0.33,209.0429,121.5801105
0.33_211.0373m/z,0.33,211.0373,52.47513812
0.33_214.0477m/z,0.33,214.0477,204.8508287
0.33_214.8589m/z,0.33,214.8589,447.3259669
0.33_216.0519m/z,0.33,216.0519,408.878453
0.33_216.8534m/z,0.33,216.8534,5502.265193
0.33_218.0317m/z,0.33,218.0317,152.519337
0.33_218.0540m/z,0.33,218.054,138.7679558
0.33_218.0677m/z,0.33,218.0677,53.3121547
0.33_219.0632m/z,0.33,219.0632,51.8839779
0.33_221.0536m/z,0.33,221.0536,228.1961326
0.33_222.0377m/z,0.33,222.0377,196.3314917
0.33_223.0481m/z,0.33,223.0481,37.48066298
0.33_225.0376m/z,0.33,225.0376,63.03314917
0.33_225.0527m/z,0.33,225.0527,97.78176796
0.33_226.0481m/z,0.33,226.0481,108.0635359
0.33_228.0387m/z,0.33,228.0387,101.8839779
0.33_228.0638m/z,0.33,228.0638,190.7651934
0.33_229.0484m/z,0.33,229.0484,266.1491713
0.33_230.0543m/z,0.33,230.0543,60.23756906
0.33_231.0381m/z,0.33,231.0381,115.8259669
0.33_231.0631m/z,0.33,231.0631,106.198895
0.33_231.0746m/z,0.33,231.0746,35.56077348
0.33_232.0473m/z,0.33,232.0473,41.37292818
0.33_232.0584m/z,0.33,232.0584,79.33425414
0.33_233.0540m/z,0.33,233.054,78.81767956
0.33_234.0379m/z,0.33,234.0379,193.5027624
0.33_235.0221m/z,0.33,235.0221,150.7624309
0.33_235.0583m/z,0.33,235.0583,28.21270718
0.33_237.0487m/z,0.33,237.0487,315.4640884
0.33_238.0329m/z,0.33,238.0329,229.2292818
0.33_239.0433m/z,0.33,239.0433,53.49723757
0.33_240.0639m/z,0.33,240.0639,198.5055249
0.33_241.0480m/z,0.33,241.048,36.40883978
0.33_241.0593m/z,0.33,241.0593,181.8701657
0.33_242.0433m/z,0.33,242.0433,269.6878453
0.33_243.0497m/z,0.33,243.0497,313.2955801
0.33_243.0748m/z,0.33,243.0748,91.82044199
0.33_244.0588m/z,0.33,244.0588,199.2016575
0.33_245.0793m/z,0.33,245.0793,39.00276243
0.33_246.0744m/z,0.33,246.0744,239.5718232
0.33_248.0538m/z,0.33,248.0538,149.2928177
0.33_252.0492m/z,0.33,252.0492,53.62430939
0.33_253.0592m/z,0.33,253.0592,49.47237569
0.33_254.0545m/z,0.33,254.0545,111.2237569
0.33_254.0797m/z,0.33,254.0797,175.038674
0.33_255.0751m/z,0.33,255.0751,142.1629834
0.33_257.0545m/z,0.33,257.0545,122.9668508
0.33_258.0747m/z,0.33,258.0747,73.91712707
0.33_262.0697m/z,0.33,262.0697,51.26243094
0.33_265.0592m/z,0.33,265.0592,36.0359116
0.33_267.0751m/z,0.33,267.0751,120.5165746
0.33_276.0600m/z,0.33,276.06,53.69337017
0.33_277.0443m/z,0.33,277.0443,161.6104972
0.33_278.0284m/z,0.33,278.0284,121.3453039
0.33_279.0596m/z,0.33,279.0596,41.59116022
0.33_280.0443m/z,0.33,280.0443,71.02209945
0.33_285.0605m/z,0.33,285.0605,75.38674033
0.33_288.0498m/z,0.33,288.0498,36.09392265
0.33_304.0558m/z,0.33,304.0558,114.859116
0.33_313.0557m/z,0.33,313.0557,171.2734807
0.33_84.0188m/z,0.33,84.0188,65.77071823
0.33_93.0192m/z,0.33,93.0192,763
0.33_94.9793m/z,0.33,94.9793,261.2237569
0.33_99.0186m/z,0.33,99.0186,31.91160221
0.33_107.0238m/z,0.33,107.0238,251.8342541
0.33_108.0190m/z,0.33,108.019,362.0690608
0.33_108.0303m/z,0.33,108.0303,390.980663
0.33_113.0232m/z,0.33,113.0232,85.10497238
0.33_119.0351m/z,0.33,119.0351,353.5911602
0.33_120.0555m/z,0.33,120.0555,592.0662983
0.33_121.0396m/z,0.33,121.0396,17.28453039
0.33_121.0507m/z,0.33,121.0507,1314.889503
0.33_123.0300m/z,0.33,123.03,210.3867403
0.33_125.8720m/z,0.33,125.872,1172.861878
0.33_126.8798m/z,0.33,126.8798,2418.466851
0.33_126.9023m/z,0.33,126.9023,597.6104972
0.33_127.8690m/z,0.33,127.869,796.640884
0.33_127.8961m/z,0.33,127.8961,52.00552486
0.33_128.8769m/z,0.33,128.8769,1624.30663
0.33_128.8995m/z,0.33,128.8995,392.441989
0.33_130.0399m/z,0.33,130.0399,760.5248619
0.33_131.0351m/z,0.33,131.0351,1959.707182
0.33_132.0192m/z,0.33,132.0192,60.3480663
0.33_135.0664m/z,0.33,135.0664,170.4171271
0.33_136.0253m/z,0.33,136.0253,1666.220994
0.33_136.0505m/z,0.33,136.0505,197.2320442
0.33_141.8669m/z,0.33,141.8669,467.0220994
0.33_142.0399m/z,0.33,142.0399,305.5856354
0.33_143.0351m/z,0.33,143.0351,1925.378453
0.33_143.8640m/z,0.33,143.864,293.1104972
0.33_144.0555m/z,0.33,144.0555,626.2928177
0.33_145.0257m/z,0.33,145.0257,761.8287293
0.33_145.0506m/z,0.33,145.0506,2404.162983
0.33_146.0349m/z,0.33,146.0349,423.7016575
0.33_147.0664m/z,0.33,147.0664,796.5303867
0.33_148.0505m/z,0.33,148.0505,1396.469613
0.33_148.0617m/z,0.33,148.0617,551.038674
0.33_150.0662m/z,0.33,150.0662,46.30110497
0.33_154.0360m/z,0.33,154.036,136.2209945
0.33_154.8973m/z,0.33,154.8973,1465.743094
0.33_157.0506m/z,0.33,157.0506,4710.665746
0.33_158.8457m/z,0.33,158.8457,1020.58011
0.33_159.0301m/z,0.33,159.0301,552.2375691
0.33_159.0413m/z,0.33,159.0413,4427.831492
0.33_159.0662m/z,0.33,159.0662,2451.176796
0.33_160.0254m/z,0.33,160.0254,847.5552486
0.33_160.0505m/z,0.33,160.0505,117.0441989
0.33_160.8411m/z,0.33,160.8411,17728.62431
0.33_161.0570m/z,0.33,161.057,187.5635359
0.33_162.0298m/z,0.33,162.0298,26.44198895
0.33_162.0662m/z,0.33,162.0662,85.16298343
0.33_162.8381m/z,0.33,162.8381,17276.6547
0.33_163.0250m/z,0.33,163.025,229.9337017
0.33_163.9071m/z,0.33,163.9071,642.4558011
0.33_164.8351m/z,0.33,164.8351,5825.320442
0.33_165.0407m/z,0.33,165.0407,137.3259669
0.33_165.9049m/z,0.33,165.9049,1538.107735
0.33_167.8701m/z,0.33,167.8701,344.0635359
0.33_168.0305m/z,0.33,168.0305,615.3287293
0.33_169.0507m/z,0.33,169.0507,687.1436464
0.33_169.8673m/z,0.33,169.8673,145.3176796
0.33_170.0462m/z,0.33,170.0462,922.2790055
0.33_170.8699m/z,0.33,170.8699,2235.883978
0.33_171.0666m/z,0.33,171.0666,1125.480663
0.33_172.0619m/z,0.33,172.0619,3347.933702
0.33_172.8670m/z,0.33,172.867,1330.48895
0.33_173.0455m/z,0.33,173.0455,1111.812155
0.33_173.0819m/z,0.33,173.0819,2431.403315
0.33_174.0524m/z,0.33,174.0524,1330.867403
0.33_175.0727m/z,0.33,175.0727,137.6491713
0.33_176.0204m/z,0.33,176.0204,235.5110497
0.33_179.0314m/z,0.33,179.0314,547.301105
0.33_182.0311m/z,0.33,182.0311,97.30662983
0.33_182.0462m/z,0.33,182.0462,2226.646409
0.33_184.0619m/z,0.33,184.0619,1741.08011
0.33_184.8757m/z,0.33,184.8757,2995.91989
0.33_184.8854m/z,0.33,184.8854,77.20718232
0.33_186.0412m/z,0.33,186.0412,335.6767956
0.33_186.0525m/z,0.33,186.0525,262.8342541
0.33_186.0776m/z,0.33,186.0776,2614.533149
0.33_186.8727m/z,0.33,186.8727,812.3232044
0.33_187.0365m/z,0.33,187.0365,750.7486188
0.33_187.0612m/z,0.33,187.0612,867.0883978
0.33_188.0683m/z,0.33,188.0683,611.1132597
0.33_195.8103m/z,0.33,195.8103,3068.953039
0.33_196.0621m/z,0.33,196.0621,2107.621547
0.33_197.8073m/z,0.33,197.8073,3976.292818
0.33_198.0526m/z,0.33,198.0526,681.480663
0.33_199.0617m/z,0.33,199.0617,192.6049724
0.33_199.8043m/z,0.33,199.8043,1841.651934
0.33_200.0571m/z,0.33,200.0571,1606.906077
0.33_200.0683m/z,0.33,200.0683,527.1436464
0.33_200.0934m/z,0.33,200.0934,1854.566298
0.33_201.0767m/z,0.33,201.0767,749.8812155
0.33_201.8014m/z,0.33,201.8014,355.7734807
0.33_202.0726m/z,0.33,202.0726,549.9364641
0.33_202.0841m/z,0.33,202.0841,74.21823204
0.33_203.9391m/z,0.33,203.9391,661.8342541
0.33_205.0474m/z,0.33,205.0474,232.6353591
0.33_207.8362m/z,0.33,207.8362,730.2872928
0.33_209.0577m/z,0.33,209.0577,348.4889503
0.33_213.0550m/z,0.33,213.055,810.3563536
0.33_215.0322m/z,0.33,215.0322,363.1933702
0.33_215.0675m/z,0.33,215.0675,1151.08011
0.33_216.0884m/z,0.33,216.0884,214.8535912
0.33_217.0587m/z,0.33,217.0587,124.339779
0.33_218.0427m/z,0.33,218.0427,368.441989
0.33_219.8450m/z,0.33,219.845,1370.618785
0.33_220.0472m/z,0.33,220.0472,70.29558011
0.33_220.8528m/z,0.33,220.8528,2505.939227
0.33_221.8421m/z,0.33,221.8421,893.1187845
0.33_222.8498m/z,0.33,222.8498,1849.972376
0.33_224.0684m/z,0.33,224.0684,1261.281768
0.33_225.0891m/z,0.33,225.0891,2333.690608
0.33_227.0796m/z,0.33,227.0796,162.7983425
0.33_228.0886m/z,0.33,228.0886,132.9696133
0.33_229.0840m/z,0.33,229.084,284.7734807
0.33_237.0639m/z,0.33,237.0639,97.35911602
0.33_237.0892m/z,0.33,237.0892,1810.649171
0.33_239.0799m/z,0.33,239.0799,390.941989
0.33_239.1049m/z,0.33,239.1049,2008.767956
0.33_240.0890m/z,0.33,240.089,55.95856354
0.33_241.0842m/z,0.33,241.0842,471.1574586
0.33_241.0955m/z,0.33,241.0955,114.1767956
0.33_250.0847m/z,0.33,250.0847,826.7486188
0.33_251.1051m/z,0.33,251.1051,723.4944751
0.33_252.0752m/z,0.33,252.0752,47.80662983
0.33_252.1004m/z,0.33,252.1004,1430.51105
0.33_253.0844m/z,0.33,253.0844,112.3480663
0.33_255.1001m/z,0.33,255.1001,273.9447514
0.33_255.8222m/z,0.33,255.8222,1082.104972
0.33_257.8192m/z,0.33,257.8192,1426.577348
0.33_261.0894m/z,0.33,261.0894,372.1685083
0.33_263.0801m/z,0.33,263.0801,203.7154696
0.33_266.0911m/z,0.33,266.0911,79.32320442
0.33_288.0604m/z,0.33,288.0604,109.9640884
0.33_290.1163m/z,0.33,290.1163,371.3867403
0.33_291.0838m/z,0.33,291.0838,8762.740331
0.33_300.0054m/z,0.33,300.0054,540.7734807
0.33_313.0658m/z,0.33,313.0658,1435.820442
0.33_335.0481m/z,0.33,335.0481,746.8093923
0.33_340.0008m/z,0.33,340.0008,1393.566298
0.33_342.0000m/z,0.33,342,3483.129834
0.33_343.9951m/z,0.33,343.9951,54990.5663
0.33_352.9972m/z,0.33,352.9972,2030.314917
0.33_374.9793m/z,0.33,374.9793,176.9088398
0.33_401.9541m/z,0.33,401.9541,1586.519337
0.33_469.9420m/z,0.33,469.942,228.7375691
0.33_500.2785m/z,0.33,500.2785,883.0635359
0.33_528.2734m/z,0.33,528.2734,1941.892265
0.34_118.0398m/z,0.34,118.0398,692.9171271
0.34_130.8739m/z,0.34,130.8739,145.4751381
0.34_132.8667m/z,0.34,132.8667,3595.232044
0.34_133.9090m/z,0.34,133.909,139.3314917
0.34_134.8641m/z,0.34,134.8641,2651.035912
0.34_136.9086m/z,0.34,136.9086,2365.983425
0.34_146.9375m/z,0.34,146.9375,9674.292818
0.34_149.0570m/z,0.34,149.057,319.5027624
0.34_157.9987m/z,0.34,157.9987,57.27624309
0.34_158.0349m/z,0.34,158.0349,65.48618785
0.34_177.8990m/z,0.34,177.899,436.3370166
0.34_179.0560m/z,0.34,179.056,149.8425414
0.34_180.8987m/z,0.34,180.8987,9116.5
0.34_183.0664m/z,0.34,183.0664,687.3370166
0.34_185.0458m/z,0.34,185.0458,87.95856354
0.34_188.0568m/z,0.34,188.0568,841.480663
0.34_190.9277m/z,0.34,190.9277,11955
0.34_191.9312m/z,0.34,191.9312,654.2127072
0.34_198.0778m/z,0.34,198.0778,2322.552486
0.34_202.8864m/z,0.34,202.8864,2355.234807
0.34_222.0780m/z,0.34,222.078,329.3867403
0.34_223.0733m/z,0.34,223.0733,833.6491713
0.34_230.8818m/z,0.34,230.8818,1793.743094
0.34_232.8789m/z,0.34,232.8789,480.3149171
0.34_232.9144m/z,0.34,232.9144,781.8453039
0.34_234.9115m/z,0.34,234.9115,1057.160221
0.34_249.0894m/z,0.34,249.0894,447.0414365
0.34_253.1207m/z,0.34,253.1207,954.5027624
0.34_262.8587m/z,0.34,262.8587,360.9309392
0.34_264.1005m/z,0.34,264.1005,1045.972376
0.34_276.1005m/z,0.34,276.1005,863.4972376
0.34_291.1116m/z,0.34,291.1116,614.8618785
0.34_310.8579m/z,0.34,310.8579,2017.947514
0.34_330.8074m/z,0.34,330.8074,634.0082873
0.34_340.8359m/z,0.34,340.8359,1535.895028
0.34_347.0034m/z,0.34,347.0034,3403.709945
0.34_348.9988m/z,0.34,348.9988,940.980663
0.34_351.9978m/z,0.34,351.9978,1591.058011
0.34_373.9796m/z,0.34,373.9796,156.8176796
0.34_461.9658m/z,0.34,461.9658,488.058011
0.34_100.9521m/z,0.34,100.9521,36.14917127
0.34_102.9474m/z,0.34,102.9474,1312.845304
0.34_109.0394m/z,0.34,109.0394,1661.558011
0.34_132.9038m/z,0.34,132.9038,494.179558
0.34_133.9436m/z,0.34,133.9436,410.6712707
0.34_136.9312m/z,0.34,136.9312,3871.157459
0.34_138.9283m/z,0.34,138.9283,489.7872928
0.34_143.9378m/z,0.34,143.9378,1586.002762
0.34_150.9144m/z,0.34,150.9144,5303.834254
0.34_152.8938m/z,0.34,152.8938,258.5773481
0.34_152.9112m/z,0.34,152.9112,35.63535912
0.34_153.8989m/z,0.34,153.8989,50.48342541
0.34_158.9912m/z,0.34,158.9912,15.9198895
0.34_160.9531m/z,0.34,160.9531,514.4640884
0.34_162.0775m/z,0.34,162.0775,184.8535912
0.34_187.9280m/z,0.34,187.928,2578.751381
0.34_212.9151m/z,0.34,212.9151,5073.494475
0.34_213.0882m/z,0.34,213.0882,780.9640884
0.34_240.9107m/z,0.34,240.9107,11485.53315
0.34_241.1204m/z,0.34,241.1204,162.5441989
0.34_258.9159m/z,0.34,258.9159,1510.118785
0.34_263.1051m/z,0.34,263.1051,334.8535912
0.34_266.1162m/z,0.34,266.1162,1048.911602
0.34_278.1162m/z,0.34,278.1162,1153.370166
0.34_308.8640m/z,0.34,308.864,1667.229282
0.34_320.8866m/z,0.34,320.8866,5660.071823
0.34_324.8638m/z,0.34,324.8638,3034.881215
0.34_326.9038m/z,0.34,326.9038,1491.477901
0.34_334.9024m/z,0.34,334.9024,1100.082873
0.34_394.8908m/z,0.34,394.8908,1404.563536
0.34_408.8233m/z,0.34,408.8233,1310.116022
0.34_694.4307m/z,0.34,694.4307,4433.066298
0.35_103.9189m/z,0.35,103.9189,293.3149171
0.35_116.0242m/z,0.35,116.0242,325.7044199
0.35_140.9931m/z,0.35,140.9931,42.71270718
0.35_207.9183m/z,0.35,207.9183,153.5276243
0.35_215.1045m/z,0.35,215.1045,186.0607735
0.35_227.1046m/z,0.35,227.1046,1355.237569
0.35_235.0736m/z,0.35,235.0736,604.2292818
0.35_392.8510m/z,0.35,392.851,976.1325967
0.35_122.0235m/z,0.35,122.0235,396.820442
0.35_144.0443m/z,0.35,144.0443,551.339779
0.35_156.9543m/z,0.35,156.9543,229.121547
0.35_216.9662m/z,0.35,216.9662,1311.582873
0.35_294.8856m/z,0.35,294.8856,2118.823204
0.35_376.8864m/z,0.35,376.8864,1473.074586
0.36_89.0129m/z,0.36,89.0129,9.378453039
0.36_97.9581m/z,0.36,97.9581,147.6906077
0.36_114.0084m/z,0.36,114.0084,3.453038674
0.36_139.0025m/z,0.36,139.0025,4086.132597
0.36_148.0253m/z,0.36,148.0253,52.9640884
0.36_149.0575m/z,0.36,149.0575,45.88674033
0.36_156.0114m/z,0.36,156.0114,103555.5331
0.36_191.9456m/z,0.36,191.9456,967.7569061
0.36_205.9149m/z,0.36,205.9149,628.5607735
0.36_211.9081m/z,0.36,211.9081,193.6270718
0.36_335.0479m/z,0.36,335.0479,76.73756906
0.36_401.9539m/z,0.36,401.9539,91.01657459
0.36_85.0028m/z,0.36,85.0028,194.7044199
0.36_125.0344m/z,0.36,125.0344,391.7320442
0.36_162.0186m/z,0.36,162.0186,302.3480663
0.36_211.0733m/z,0.36,211.0733,1105.977901
0.36_224.0382m/z,0.36,224.0382,964.8425414
0.37_118.9651m/z,0.37,118.9651,797.441989
0.37_95.0236m/z,0.37,95.0236,4007.002762
0.37_186.9287m/z,0.37,186.9287,2555.690608
0.37_528.2733m/z,0.37,528.2733,244.8646409
0.37_72.0076m/z,0.37,72.0076,437.0082873
0.38_207.9305m/z,0.38,207.9305,4155.743094
