Metabolite,RT,MZ,Intensity
15R-15-methyl PGA2,9.65,347.2229,178168.5746
15S-15-methyl PGD2,8.63,365.2333,122319.2238
15S-15-methyl PGE1,8.49,367.2492,286626.8204
15S-15-methyl PGE2,8.37,365.2333,356107.547
15R-15-methyl PGF2a,8.19,367.249,514237.2762
12.13-diHOME,10.04,313.2387,25963.68232
9.10-diHOME,10.26,313.2386,5511.781768
13-HODE,11.55,295.2278,11005.30663
5-HETE,12.2,319.2279,1286.546961
15-HpETE,11.93,335.2205,8588.903315
levulinate,0.99,115.0388,116378.7072
hydrocinnamate,6.28,149.0597,1586.759669
2-hydroxyoctanoate,6.8,159.1015,9964.953039
3-hydroxyoctanoate,5.99,159.1015,8579.337017
caprate,10.84,171.138,10758.10773
3-hydroxydecanoate,8.46,187.1331,18122.52486
5-dodecenoate,11.55,197.1539,6777.530387
dodecanoate,12.43,199.1695,59118.75138
undecanedionate,7.2,215.1283,245069.5138
myristoleate,12.78,225.1855,56271.55249
myristate,13.81,227.2011,669810.7956
dodecanedioate,7.98,229.1441,263903.8287
pentadecanoate,14.41,241.2169,143933.9779
hydroxymyristate,12.35,243.1962,8213.11326
palmitoleate,14.02,253.2171,2149170.052
palmitate,14.96,255.2328,5523135.265
tetradecanedioate,9.37,257.1758,192989.9834
10-heptadecenoate,14.57,267.2329,205183.1215
heptadecanoate,15.46,269.2486,350954.9337
16-hydroxypalmitate,11.09,271.228,81751.6105
2-hydroxyhexadecanoate,13.75,271.2279,168411.0608
gamma-linolenate,13.68,277.2172,313265.5221
alpha-linolenate,13.57,277.2172,1276376.348
linoleate,14.29,279.233,9516751.79
oleate,15.08,281.2486,11240936.41
hexadecanedioate,10.68,285.2072,199783.4006
10-nonadecenoate,15.54,295.2641,108300.9116
nonadecanoate,16.33,297.2798,34155.1989
17-Methylstearate,16.19,297.2798,19256.21271
eicosapentaenoate,13.44,301.2173,229175.4558
arachidonate,14.13,303.233,1639566.439
eicosatrienoate,14.59,305.2486,358226.6133
eicosadienoate,15.22,307.2642,372995.7431
eicosenoate,15.94,309.2799,267126.3232
arachidate,16.77,311.2956,170402.0773
phytanate,16.15,311.2956,45597.54144
docosahexaenoate,13.91,327.233,1311996.555
docosapentaenoate,14.26,329.2485,354886.7293
adrenate,14.88,331.2643,297066.1464
13-docosenoate,16.76,337.3113,33018.25691
eicosanedioate,13.08,341.2696,12090.75967
masilinate,11.7,471.3479,4480.232044
lithocholate,12.26,375.2905,2910.593923
chenodeoxycholate,10.44,391.2856,72271.03867
deoxycholate,10.64,391.2856,368866.268
hyodeoxycholate/ursodeoxycholate,9.2,391.2856,46231.03039
alpha-muricholate,8.08,407.2803,1320.41989
cholate,9.06,407.2804,96647.22652
glycolithocholate,10.77,432.3117,16952.43094
glycochenodeoxycholate,9.18,448.3071,857460.2624
glycodeoxycholate,9.42,448.3071,560102.7514
glycoursodeoxycholate,8.05,448.307,137168.674
glycocholate,8.08,464.3018,273115.953
taurolithocholate,10.49,482.289,941.9917127
tauro-alpha-muricholate/tauro-beta-muricholate,6.69,514.2842,6921.406077
salicylate,3.38,137.0232,89292.89227
theophylline,1,179.0564,80156.8453
azelate,4.71,187.0967,61282.76519
salicylurate,2.25,194.0451,13039.03315
sebacate,6.23,201.1125,182197.7652
ibuprofen,10.26,205.1227,30364.3453
2-hydroxyibuprofen,6.32,221.1178,12513.46133
naproxen,8.54,229.0865,52230.60497
carboxyibuprofen,6.5,235.0972,37438.58287
gemfibrozil,11.04,249.1494,1844.848066
hydrochlorothiazide,1.39,295.9572,21282.82873
warfarin,9.14,307.0977,10052.89503
omeprazole,5.68,344.1074,19112.93923
pantroprazole,6.49,382.0681,1210.801105
cetrizine,7.62,387.1483,29496.56354
valsartan,9.15,434.2199,301760.0829
16:0 PC(O),12.37,526.3514,354160.3232
4-hydroxystyrene,2.6,119.049,1921.38674
alpha-CEHC,8.05,277.1445,4987.232044
dimethylurate,0.92,195.0515,46771.60221
fructose/glucose/galactose,0.7,179.0551,219567.1022
oxypurinol,0.74,151.0249,26447.28729
palmitoylethanolamide,13.52,344.2807,4249.781768
phenylacetylglutamine,1.48,263.1037,617613.1713
phenyllactate,2.58,165.0546,20600.59392
(removed) pregnenolone sulfate,9.21,395.1898,99057.74586
urobilin,6.41,593.3341,3964.287293
nervonic acid,17.68,365.3423,83249.92265
3-hydroxyhexanoate,1.64,131.0701,5994.066298
9-cis-retinoic acid,12.72,299.2016,46780.1547
0.31_141.0003m/z,0.31,141.0003,9240.638122
0.31_156.9953m/z,0.31,156.9953,9507.157459
0.31_182.0271m/z,0.31,182.0271,11593.6105
0.31_208.0432m/z,0.31,208.0432,9518.212707
0.31_210.0591m/z,0.31,210.0591,204816.7514
0.31_212.3949m/z,0.31,212.3949,50.55801105
