Compound_ID,MZ,RT,Intensity,Metabolite
6.58_766.5732m/z,766.5732,6.58,8174351.33,C36:5 PC plasmalogen
5.49_724.5265m/z,724.5265,5.49,1974711.46,C36:5 PE plasmalogen
5.51_768.5522m/z,768.5522,5.51,2595898.47,C38:4 PE
1.53_660.5556m/z,660.5556,1.53,174522.02,C38:5 DAG*
5.46_752.5571m/z,752.5571,5.46,3832975.05,C38:5 PE plasmalogen*
5.52_764.5212m/z,764.5212,5.52,1368706.89,C38:6 PE
5.46_750.5417m/z,750.5417,5.46,3024661.39,C38:6 PE plasmalogen*
6.56_790.5730m/z,790.573,6.56,836889.74,C38:7 PC plasmalogen
5.47_748.5264m/z,748.5264,5.47,1312573.29,C38:7 PE plasmalogen
8.60_262.1283m/z,262.1283,8.6,6140.64,C3-DC-CH3 carnitine
5.49_792.5523m/z,792.5523,5.49,688061,C40:6 PE
5.44_776.5572m/z,776.5572,5.44,1694539.91,C40:7 PE plasmalogen
1.48_766.6892m/z,766.6892,1.48,333374.66,C44:1 TAG*
1.48_764.6746m/z,764.6746,1.48,286864.55,C44:2 TAG*
1.48_792.7059m/z,792.7059,1.48,590867.3,C46:2 TAG*
1.48_790.6904m/z,790.6904,1.48,258784.92,C46:3 TAG*
8.90_248.1489m/z,248.1489,8.9,11939.79,C4-OH carnitine
7.82_246.1698m/z,246.1698,7.82,169289.34,C5 carnitine
7.91_244.1541m/z,244.1541,7.91,21482.94,C5:1 carnitine
8.37_276.1439m/z,276.1439,8.37,28206.79,C5-DC carnitine
7.60_260.1854m/z,260.1854,7.6,41768.93,C6 carnitine
7.49_274.2010m/z,274.201,7.49,4286.78,C7 carnitine
7.40_288.2166m/z,288.2166,7.4,107290.59,C8 carnitine
7.26_302.2322m/z,302.2322,7.26,35334.37,C9 carnitine
2.78_195.0876m/z,195.0876,2.78,766024.49,caffeine
8.85_162.1123m/z,162.1123,8.85,32037322.89,carnitine
8.29_104.1075m/z,104.1075,8.29,3118226,choline
2.57_206.0812m/z,206.0812,2.57,9766.05,cinnamoylglycine
8.42_176.1029m/z,176.1029,8.42,198953.82,citrulline
5.06_177.1022m/z,177.1022,5.06,373904.33,cotinine
8.38_132.0768m/z,132.0768,8.38,1510585.33,creatine
6.54_114.0665m/z,114.0665,6.54,9495459,creatinine
5.73_112.0509m/z,112.0509,5.73,9294.33,cytosine_isomer1
8.60_104.0711m/z,104.0711,8.6,62027.42,dimethylglycine
7.87_202.1185m/z,202.1185,7.87,24386.45,DMGV
8.98_143.0815m/z,143.0815,8.98,16740.28,ectoine
7.72_104.0711m/z,104.0711,7.72,10448.49,GABA
7.12_172.1331m/z,172.1331,7.12,7486.04,gabapentin
7.70_148.0603m/z,148.0603,7.7,80669.36,glutamate
8.10_147.0763m/z,147.0763,8.1,2870053.02,glutamine
7.98_76.0402m/z,76.0402,7.98,13067.16,glycine
7.94_118.0614m/z,118.0614,7.94,12107.79,guanidinoacetic acid
5.31_152.0566m/z,152.0566,5.31,15324.51,guanine
9.40_156.0767m/z,156.0767,9.4,613461.04,histidine
9.39_189.1345m/z,189.1345,9.39,158883.07,homoarginine
8.42_190.1185m/z,190.1185,8.42,2516,homocitrulline
5.01_193.0971m/z,193.0971,5.01,67799.54,hydroxycotinine
8.42_159.0764m/z,159.0764,8.42,140801.79,hydroxyectoine
7.96_132.0656m/z,132.0656,7.96,81529.49,hydroxyproline
8.07_110.0274m/z,110.0274,8.07,1338.78,hypotaurine
4.84_137.0457m/z,137.0457,4.84,38179062.17,hypoxanthine
7.51_141.0658m/z,141.0658,7.51,2049.79,imidazole propionate
8.11_127.0503m/z,127.0503,8.11,729.58,imidazoleacetic acid
4.92_269.0877m/z,269.0877,4.92,4693509.62,inosine
4.18_180.0505m/z,180.0505,4.18,10.57,isoxanthopterin
5.33_190.0498m/z,190.0498,5.33,12146,kynurenic acid
7.05_132.1019m/z,132.1019,7.05,1253721.11,leucine
1.92_324.2894m/z,324.2894,1.92,9634.8,linoleoyl ethanolamide
9.42_147.1127m/z,147.1127,9.42,2390255.28,lysine
7.29_130.1088m/z,130.1088,7.29,17677.87,metformin
7.12_150.0583m/z,150.0583,7.12,214211.85,methionine
8.70_166.0532m/z,166.0532,8.7,6512,methionine sulfoxide
8.91_141.0657m/z,141.0657,8.91,39753.35,methylimidazoleacetic acid
6.21_268.1905m/z,268.1905,6.21,15398.21,metoprolol
2.64_172.0716m/z,172.0716,2.64,1573.15,metronidazole
1.68_227.2004m/z,227.2004,1.68,6635.11,myristoleate
9.80_188.1756m/z,188.1756,9.8,133627.36,N1-acetylspermidine
4.31_153.0658m/z,153.0658,4.31,520408.9,N1-methyl-2-pyridone-5-carboxamide
5.42_312.1298m/z,312.1298,5.42,55533.82,N2.N2-dimethylguanosine
4.26_286.1030m/z,286.103,4.26,50587.12,N4-acetylcytidine
3.84_132.0656m/z,132.0656,3.84,5461.23,N-acetyalanine
8.42_198.0849m/z,198.0849,8.42,34567.33,N-acetylhistidine
2.82_247.1075m/z,247.1075,2.82,36901.65,N-acetyltryptophan
8.23_217.1294m/z,217.1294,8.23,14505.95,N-alpha-acetylarginine
4.12_133.0608m/z,133.0608,4.12,5169.12,N-carbamoyl-beta-alanine
3.72_123.0555m/z,123.0555,3.72,172648.42,niacinamide
6.13_181.0606m/z,181.0606,6.13,2175.82,nicotinuric acid
2.31_258.2062m/z,258.2062,2.31,5198.65,N-lauroylglycine
8.67_130.0863m/z,130.0863,8.67,421268.77,N-methylproline
