Compound_ID,MZ,RT,Intensity,Metabolite
QI102,815.6987,9.92,15151307.08,135_C24:0 SM
QI103,619.541,11.57,778675.7696,136_C14:0 CE
QI104,614.5857,11.57,151761.248,137_NH4_C14:0 CE
QI105,645.5567,11.67,5769302.712,138_C16:1 CE
QI106,640.6014,11.66,5136719.113,139_NH4_C16:1 CE
QI107,647.5725,11.97,12550671.85,140_C16:0 CE
QI108,642.6172,11.97,3982031.112,141_NH4_C16:0 CE
QI109,669.5565,11.49,13052079.51,142_C18:3 CE
QI110,664.6014,11.49,16281660.27,143_NH4_C18:3 CE
QI111,671.572,11.75,85865832.51,144_C18:2 CE
QI112,666.6171,11.74,174344728.3,145_NH4_C18:2 CE
QI113,673.5879,12.05,36276436.32,146_C18:1 CE
QI114,668.6327,12.06,33217831.55,147_NH4_C18:1 CE
QI115,675.6037,12.4,4158161.617,148_C18:0 CE
QI116,670.6484,12.4,1054186.496,149_NH4_C18:0 CE
QI117,688.6013,11.35,14418104,151_NH4_C20:5 CE
QI118,695.5719,11.61,42264458.49,152_C20:4 CE
QI119,690.617,11.61,61750296.4,153_NH4_C20:4 CE
QI120,697.5877,11.88,4674806.484,154_C20:3 CE
QI121,692.6324,11.87,6363667.932,155_NH4_C20:3 CE
QI122,719.5719,11.47,11220402.25,156_C22:6 CE
QI123,714.6168,11.47,10873378.01,157_NH4_C22:6 CE
QI124,721.5874,11.7,309768.1991,158_C22:5 CE
QI125,716.6321,11.7,552047.5113,159_NH4_C22:5 CE
QI126,723.603,12,85099.52734,160_C22:4 CE
QI127,718.6479,11.98,123085.192,161_NH4_C22:4 CE
QI128,323.2186,4.52,6978.767735,162_C14:1 MAG
QI129,339.25,4.91,13944.31163,164_C16:1 MAG
QI130,381.2968,5.79,2768354.745,166_C18:0 MAG
QI131,376.3416,5.79,82538.54346,167_NH4_C18:0 MAG
QI132,563.464,8.61,19383.60503,170_C30:0 DAG
QI133,558.5086,8.62,4107.13231,171_NH4_C30:0 DAG
QI134,587.4637,8.45,17323.19208,172_C32:2 DAG
QI135,582.509,8.45,9545.78916,173_NH4_C32:2 DAG
QI136,589.4791,8.75,229523.4722,174_C32:1 DAG
QI137,584.5241,8.76,98577.77015,175_NH4_C32:1 DAG
QI138,591.495,9.06,311136.8927,176_C32:0 DAG
QI139,586.5397,9.07,88060.68797,177_NH4_C32:0 DAG
QI140,613.4789,8.59,242484.4421,178_C34:3 DAG
QI141,608.5241,8.58,134850.9341,179_NH4_C34:3 DAG
QI142,615.4947,8.9,1079697.061,180_C34:2 DAG
QI143,610.5391,8.89,694809.8925,181_NH4_C34:2 DAG
QI144,617.5105,9.19,2637560.855,182_C34:1 DAG
QI145,612.5553,9.19,853514.6187,183_NH4_C34:1 DAG
QI146,619.5263,9.46,332986.2499,184_C34:0 DAG
QI147,614.571,9.5,67785.03662,185_NH4_C34:0 DAG
QI148,641.5103,9.03,5409293.146,186_C36:3 DAG
QI149,636.5551,9.02,2191963.713,187_NH4_C36:3 DAG
QI150,643.5261,9.31,5818327.017,188_C36:2 DAG
QI151,638.5709,9.31,1754377.3,189_NH4_C36:2 DAG
QI152,645.5418,9.61,600778.8505,190_C36:1 DAG
QI153,640.5866,9.61,147101.7773,191_NH4_C36:1 DAG
QI154,647.5573,9.87,640826.9091,192_C36:0 DAG
QI155,642.602,9.87,87580.57439,193_NH4_C36:0 DAG
QI156,639.4945,8.74,1110475.624,194_C36:4 DAG
QI157,634.5391,8.72,737060.0023,195_NH4_C36:4 DAG
QI158,665.5101,8.99,686464.8019,196_C38:5 DAG
QI159,660.5548,8.99,220371.9148,197_NH4_C38:5 DAG
QI160,667.5262,9.29,185904.143,198_C38:4 DAG
QI161,662.5705,9.28,28072.68382,199_NH4_C38:4 DAG
QI162,731.6148,10.67,10866.17545,200_C41:0 TAG
QI163,726.6591,10.68,3406.74726,201_NH4_C41:0 TAG
QI164,745.6301,10.85,366207.9745,202_C42:0 TAG
QI165,740.6748,10.86,184061.6148,203_NH4_C42:0 TAG
QI166,757.6304,10.79,54421.79307,206_C43:1 TAG
QI167,752.6752,10.79,20053.97061,207_NH4_C43:1 TAG
QI168,759.6457,11.02,41134.9329,208_C43:0 TAG
QI169,754.6905,11.02,20663.85133,209_NH4_C43:0 TAG
QI170,769.6301,10.7,986959.7014,210_C44:2 TAG
QI171,764.6748,10.7,356952.8986,211_NH4_C44:2 TAG
QI172,771.6457,10.96,1555785.174,212_C44:1 TAG
QI173,766.6904,10.96,791925.9854,213_NH4_C44:1 TAG
QI174,773.6611,11.2,793235.6717,214_C44:0 TAG
QI175,768.7058,11.2,796981.252,215_NH4_C44:0 TAG
QI176,781.6302,10.72,55098.26782,216_C45:3 TAG
QI177,776.6751,10.72,9996.12538,217_NH4_C45:3 TAG
QI178,785.6611,11.12,175670.8279,220_C45:1 TAG
QI179,780.706,11.13,113514.9007,221_NH4_C45:1 TAG
QI180,787.6768,11.37,49333.63856,222_C45:0 TAG
QI181,782.7209,11.37,139032.2647,223_NH4_C45:0 TAG
QI182,795.6454,10.8,1532798.034,226_C46:3 TAG
QI183,790.6902,10.8,544273.6234,227_NH4_C46:3 TAG
QI184,797.6612,11.05,4414102.24,228_C46:2 TAG
QI185,792.7059,11.05,2154155.887,229_NH4_C46:2 TAG
QI186,799.6767,11.3,4363952.204,230_C46:1 TAG
QI187,794.7214,11.3,5732149.068,231_NH4_C46:1 TAG
QI188,801.6928,11.54,796598.9124,232_C46:0 TAG
QI189,796.7371,11.55,2894094.496,233_NH4_C46:0 TAG
QI190,811.6768,11.21,512791.5653,234_C47:2 TAG
QI191,806.7216,11.22,524533.559,235_NH4_C47:2 TAG
QI192,813.6926,11.46,346482.58,236_C47:1 TAG
QI193,808.7374,11.47,945914.3702,237_NH4_C47:1 TAG
QI194,815.7083,11.7,20687.79438,238_C47:0 TAG
QI195,810.7525,11.7,298553.2172,239_NH4_C47:0 TAG
QI196,819.6456,10.71,656566.3931,240_C48:5 TAG
QI197,814.6905,10.7,206236.5705,241_NH4_C48:5 TAG
QI198,821.6609,10.89,2987961.054,242_C48:4 TAG
QI199,816.7059,10.89,1144888.733,243_NH4_C48:4 TAG
QI200,823.6764,11.14,9146355.086,244_C48:3 TAG
QI201,818.7213,11.15,5967761.607,245_NH4_C48:3 TAG
QI202,825.6914,11.4,16051976.77,246_C48:2 TAG
QI203,820.7368,11.4,25634857.05,247_NH4_C48:2 TAG
QI204,827.7078,11.65,6550359.555,248_C48:1 TAG
QI205,822.7528,11.64,25844246.81,249_NH4_C48:1 TAG
QI206,829.7234,11.89,1559647.561,250_C48:0 TAG
QI207,824.7683,11.89,6239140.969,251_NH4_C48:0 TAG
QI208,837.6928,11.31,1049168.523,252_C49:3 TAG
QI209,832.7369,11.32,1704540.704,253_NH4_C49:3 TAG
QI210,839.7085,11.55,1135112.033,254_C49:2 TAG
QI211,834.7526,11.56,3742832.407,255_NH4_C49:2 TAG
QI212,841.7246,11.8,432079.9441,256_C49:1 TAG
QI213,836.7687,11.8,2833830.965,257_NH4_C49:1 TAG
QI214,843.7396,12.02,25761.90298,258_C49:0 TAG
QI215,838.7863,12.06,319109.8374,259_NH4_C49:0 TAG
QI216,845.6611,10.87,1136212.081,260_C50:6 TAG
QI217,840.7065,10.87,353805.7461,261_NH4_C50:6 TAG
QI218,847.6764,11,5066051.303,262_C50:5 TAG
QI219,842.7214,10.99,2259298.651,263_NH4_C50:5 TAG
QI220,851.7069,11.49,36734957.73,266_C50:3 TAG
QI221,846.7524,11.49,77700031.6,267_NH4_C50:3 TAG
QI222,853.7233,11.73,19406562.95,268_C50:2 TAG
QI223,848.7683,11.74,93875884.43,269_NH4_C50:2 TAG
QI224,855.7392,11.98,20656713.48,270_C50:1 TAG
QI225,850.7842,11.98,67160192.12,271_NH4_C50:1 TAG
QI226,857.755,12.23,3189488.668,272_C50:0 TAG
QI227,852.7999,12.23,4569320.665,273_NH4_C50:0 TAG
QI228,865.7235,11.65,2335364.776,274_C51:3 TAG
QI229,860.7681,11.65,8579740.106,275_NH4_C51:3 TAG
QI230,867.7391,11.9,3062702.488,276_C51:2 TAG
QI231,862.784,11.9,9874863.963,277_NH4_C51:2 TAG
QI232,869.7552,12.14,1670779.66,278_C51:1 TAG
QI233,864.8,12.14,3623449.085,279_NH4_C51:1 TAG
QI234,871.7707,12.39,256091.6868,280_C51:0 TAG
QI235,866.8164,12.41,337276.1611,281_NH4_C51:0 TAG
QI236,871.6767,10.96,1866483.273,282_C52:7 TAG
QI237,866.722,10.98,656636.7174,283_NH4_C52:7 TAG
QI238,873.6921,11.1,9354257.343,284_C52:6 TAG
QI239,868.7371,11.15,5435488.981,285_NH4_C52:6 TAG
QI240,877.7224,11.57,67085472.31,288_C52:4 TAG
QI241,872.7679,11.57,195624242.4,289_NH4_C52:4 TAG
QI242,879.7389,11.83,81588685.72,290_C52:3 TAG
QI243,874.784,11.82,289400686.1,291_NH4_C52:3 TAG
QI244,881.7547,12.08,73181702.12,292_C52:2 TAG
QI245,876.7997,12.07,214287901.5,293_NH4_C52:2 TAG
QI246,883.7705,12.32,23523024.74,294_C52:1 TAG
QI247,878.8155,12.32,22938663.21,295_NH4_C52:1 TAG
QI248,893.7548,12,2546045.971,298_C53:3 TAG
QI249,888.7992,11.99,9713429.708,299_NH4_C53:3 TAG
QI250,895.7704,12.24,5311629.327,300_C53:2 TAG
QI251,890.8152,12.23,7279419.834,301_NH4_C53:2 TAG
QI252,895.6778,10.87,383945.8622,304_C54:9 TAG
QI253,890.7232,10.87,61549.82375,305_NH4_C54:9 TAG
QI254,897.6923,11.1,3464212.088,306_C54:8 TAG
QI255,899.7078,11.31,7925458.785,308_C54:7 TAG
QI256,894.7526,11.32,12358906.73,309_NH4_C54:7 TAG
QI257,901.7231,11.54,12590584.26,310_C54:6 TAG
QI258,903.7389,11.79,5610726.511,312_C54:5 TAG
QI259,905.7545,11.92,39709154.53,314_C54:4 TAG
QI260,900.7996,11.92,104490367.8,315_NH4_C54:4 TAG
QI261,907.7705,12.17,51250598.13,316_C54:3 TAG
QI262,902.8154,12.17,83267555.88,317_NH4_C54:3 TAG
QI263,909.7863,12.42,28004070.19,318_C54:2 TAG
QI264,904.8313,12.42,22249260.49,319_NH4_C54:2 TAG
QI265,911.802,12.68,4469122.253,320_C54:1 TAG
